#
# Bif table.
# Generate files:
#         sys_bifs.hrl (include file to erlang)
#         bif_addr.c
#
# name			arity	auto-import
abs	 		1	true
append			2	false
apply	 		3	true
atom_to_list		1	true
binary_to_list		1	true
binary_to_list		3	true
binary_to_term		1	true
check_process_code	2	true
concat_binary		1	true
date	 		0	true
db_all_tables		0	false
db_create		2	false
db_erase		1	false
db_erase		2	false
db_first		1	false
db_fixtable		2	false
db_get			2	false
db_get_element		3	false
db_info			2	false
db_match		2	false
db_match_erase		2	false
db_match_object		3	false
db_next_key		2	false
db_put			2	false
db_slot			2	false
db_update_counter	3	false
delete_module		1	true
display			1	false
element	 		2	true
erase	 		0	true
erase	 		1	true
exit	 		1	true
exit	 		2	true
float	 		1	true
float_to_list		1	true
function_exported	3	false
garbage_collect		0	true
garbage_collect		1	true
get	 		0	true
get	 		1	true
get_keys		1	true
group_leader		0	true
group_leader		2	true
halt	 		0	true
hash			2	false
hd	 		1	true
info			1	false
integer_to_list		1	true
is_alive		0	true
length	 		1	true
link			1	true
list_to_atom		1	true
list_to_binary		1	true
list_to_float		1	true
list_to_integer		1	true
list_to_pid		1	true
list_to_tuple		1	true
load_module		2	true
loaded			0	false
localtime		0	false
localtime_to_universaltime	1	false
make_ref		0	true
module_loaded		1	true
monitor_node		2	true
node			1	true
node	 		0	true
nodes			0	true
now			0	true
open_port_prim		2	false
pid_to_list		1	true
port_info		2	false
ports			0	false
pre_loaded		0	true
process_flag		2	true
process_info		2	true
processes		0	true
purge_module		1	true
put	 		2	true
register		2	true
registered		0	true
round	 		1	true
self	 		0	true
send			2	false
setelement		3	true
size	 		1	true
spawn	 		3	true
spawn_link		3	true
split_binary		2	true
statistics		1	true
subtract		2	false
term_to_binary		1	true
throw	 		1	true
time	 		0	true
tl	 		1	true
trace	 		3	true
trunc	 		1	true
tuple_to_list		1	true
type			2	false
universaltime		0	false
universaltime_to_localtime	1	false
unlink	 		1	true
unregister		1	true
whereis			1	true
spawn_opt		2	false
float_to_words		1	false
halt	 		1	true
setnode			2	false
setnode			3	false
dist_exit		3	false
dist_unlink		2	false
dist_link		2	false
binary_to_dist		1	false
dist_to_binary		1	false

port_command		2	true
port_control		3	true
port_close		1	true
port_connect		2	true

m_cos			1	false
m_cosh			1	false
m_sin			1	false
m_sinh			1	false
m_tan			1	false
m_tanh			1	false
m_acos			1	false
m_acosh			1	false
m_asin			1	false
m_asinh			1	false
m_atan			1	false
m_atanh			1	false
m_erf			1	false
m_erfc			1	false
m_exp			1	false
m_log			1	false
m_log10			1	false
m_sqrt			1	false
m_atan2			2	false
m_pow			2	false

member			2	false
reverse			2	false
old_binary_to_term	1	false

start_timer		3	false
send_after		3	false
cancel_timer		1	false

make_tuple		2	false
append_element		2	false

seq_trace		2	false
seq_trace_info		1	false
seq_trace_print		2	false
system_flag		2	false
system_info		1	false

get_os_pid		0	false

os_put_env		1	false
